Datetime,TSLA_price,TSLA %Diff,ZM_price,Zoom % Diff,AMZN_price,Amazon %Diff,DAL_price,Delta %Diff,GOOGL_price,Google % Diff,NFLX_price,Netflix % Diff,NVS_price,Novartis %Diff,PFE_price,Pfizer % Diff,TRIP_price,Trip Advisor % Diff
2020-03-24 09:30:00-04:00,477.2999878,,154,,1951.494995,,26.30999947,,1103.97998,,369.9899902,,73.91000366,,29.51000023,,18.11000061,
2020-03-24 15:59:00-04:00,502.75,5.332078956,135.2100067,-12.20129434,1938.359985,-0.673074223,27.05999947,2.850627196,1127.22998,2.106016451,356.25,-3.71361134,73.55000305,-0.487079681,29.76000023,0.847170444,18.54999924,2.106016451
2020-03-25 09:30:00-04:00,545.9899902,,139.8899994,,1924.069946,,31.48999977,,1111.619995,,361.019989,,75.54000092,,29.5,,19.12999916,
2020-03-25 15:59:00-04:00,540.6900024,-0.970711531,138.0449982,-1.318894295,1891.170044,-1.709911971,31.15999985,-1.047951496,1101.650024,-0.896886593,342.5499878,-5.116060546,77.01000214,1.945990472,29.69000053,0.644069607,19.76000023,3.106016451
2020-03-26 09:30:00-04:00,547.3900146,,140.5099945,,1902,,32.68999863,,1114.994995,,344,,76.88999939,,29.88999939,,20.42000008,
2020-03-26 15:59:00-04:00,527,-3.724951881,140.7384033,0.162556987,1948.439941,2.441637298,31.47999954,-3.701435103,1158.910034,3.938586205,362,5.23255814,79.69999695,3.65456832,31.71999931,6.122448849,19.79999924,4.106016451
2020-03-27 09:30:00-04:00,500.0650024,,147.8000031,,1936.849976,,30.46999931,,1129.030029,,359.2600098,,77.66999817,,31.03000069,,18.87000084,
2020-03-27 15:59:00-04:00,515.3300171,3.052606076,151.5,2.503380833,1900.349976,-1.884503212,29.5,-3.183456958,1110.02002,-1.683747046,356.6700134,-0.72092531,79.19999695,1.969871012,30.80500031,-0.725105951,17.89999962,5.106016451
2020-03-30 09:30:00-04:00,510.269989,,160.7599945,,1922.829956,,28.48999977,,1132.640015,,363,,80.45999908,,31.04999924,,18,
2020-03-30 15:59:00-04:00,502.3500061,-1.55211615,150.1699982,-6.587457514,1962.01001,2.037624471,28.66500092,0.614254636,1144.98999,1.090370764,368.4200134,1.493116647,81.87999725,1.764849845,32.64500046,5.136880064,17.95000076,6.106016451
2020-03-31 09:30:00-04:00,498.8500061,,144.6499939,,1953.782349,,28.90999985,,1147.27063,,367.6619873,,81.25,,32.40000153,,17.87000084,
2020-03-31 15:59:00-04:00,523.1500244,4.87120738,146.3899994,1.202907409,1945.930054,-0.401902235,28.52499962,-1.331719927,1162.22998,1.303907744,376.3999939,2.376641288,82.37999725,1.39076585,32.59999847,0.617274503,17.36499977,7.106016451
2020-04-01 09:30:00-04:00,503.0849915,,144.5,,1934.77002,,26.39999962,,1122.369995,,375.8299866,,81,,31.84000015,,16.60000038,
2020-04-01 15:59:00-04:00,482.6138916,-4.069113609,137.0500031,-5.155707231,1908.560059,-1.354680953,23.80999947,-9.81060678,1101.709961,-1.840750757,364.4100952,-3.038579082,80.80999756,-0.234570915,31.63999939,-0.628143097,16.67000008,8.106016451
2020-04-02 09:30:00-04:00,482.9899902,,125.25,,1901.640015,,23.7201004,,1098.800049,,364.0799866,,81.98000336,,31.96999931,,16.51000023,
2020-04-02 15:59:00-04:00,453.769989,-6.049815071,120.7699966,-3.576848988,1915.459961,0.726738299,22.73500061,-4.153016959,1117.959961,1.743712346,369.75,1.557353779,83.43000031,1.768720284,32.84000015,2.721303903,16.26000023,9.106016451
2020-04-03 09:30:00-04:00,502.3999939,,123.2900009,,1912.824951,,23.08499908,,1109.130005,,367.4700928,,83.69999695,,32.70999908,,16.29000092,
2020-04-03 15:59:00-04:00,479.6700134,-4.524279607,128.4049988,4.148753204,1905.160034,-0.400711889,22.49010086,-2.576990459,1093.41394,-1.416972256,361.9100037,-1.513072552,83.5,-0.238944989,33.64500046,2.858457351,15.74499989,10.10601645
2020-04-06 09:30:00-04:00,511.2000122,,113.6299973,,1936,,22.31030083,,1133,,365.2200012,,85.15000153,,33.91999817,,16.48999977,
