0,"$TSLA former 5dMA stubborn resistance is acting as a support now 🏋️‍♂️

( Using chart program Pro ☞ https://t.co/c9LMuXklpS) https://t.co/zk7Vq0UkG3",1,2,2020-03-28 23:56:17
1,Mrs $TSLA is resetting for us. https://t.co/KYH78MkkKD,0,7,2020-03-28 23:47:49
2,Is this true @elonmusk? $TSLA $TSLAQ https://t.co/cQklrAmkTh,1,1,2020-03-28 23:42:27
3,"$GM - Great Job, General Motors.  Others can learn from you.   $TSLA https://t.co/hlWbl857f6",0,3,2020-03-28 23:39:36
4,$TSLA is completely opposite of buffets mentality https://t.co/o8BXw7vlLy,0,2,2020-03-28 23:39:22
5,"Sorry, @USAttorneys @TheJusticeDept @FBI. Are you going to do something, this time, with @elonmusk? He is accusing doctor they are not treating patients. 
$TSLA https://t.co/9eNfrMlNr4",0,1,2020-03-28 23:37:09
6,"The Egomaniacal, Mendacious Narcissist who insisted COV-19 was no more virulent than the common cold, &amp; kept his $TSLA factory running after the county health authorities issued a shut-down order, has now determined the doctors are to blame. https://t.co/o6Q2D3iNZR",24,94,2020-03-28 23:37:01
7,Short sale vol (not short interest) for $SMH on 2020-03-27 is 69%. https://t.co/z5I4JujjY3 $TSLA 61% $FISV 43% $SIRI 72% $USMV 48%,0,0,2020-03-28 23:36:01
8,"Why don't you ask your CCP handlers to send more PPE, then?

$TSLA $TSLAQ #Tesla #テスラ https://t.co/Hvj2EbGJfP",0,7,2020-03-28 23:33:14
9,$TSLA - the opposite of what the genius Elon Musk is saying https://t.co/Nka0YmMRN3,0,1,2020-03-28 23:32:59
10,I've had enough every Tesla Owner and $TSLA investor is complicit with this grifter and his ignorance while the world is in crisis and people are suffering. Shame on all of you. #BoycottTesla #BanElonMusk https://t.co/7o0LQxWhKm,11,56,2020-03-28 23:31:05
11,"$TSLA shit will hit the fan this week 
#LightsOut 
#Covid_19 
#CoronaLockdown https://t.co/hf6z3O0pUo",0,1,2020-03-28 23:29:26
12,$TSLA what soyboys call “off-roading”.  Driving across a flat gentle rocky stream.  Don’t go too deep hatchback is leaky and gate is real loooow... https://t.co/njTvKYlfUt,0,10,2020-03-28 23:28:43
13,"Could be worse, imagine defying a county directive and making 10k factory workers report to work.  $tsla https://t.co/DSO0OC8C4Y",16,98,2020-03-28 23:26:44
