keyword,timestamp,pos_hype,neg_hype
$TSLA,2020-03-23 09:34:57,1,0
$TSLA,2020-03-23 09:41:17,2,0
$TSLA,2020-03-23 09:47:07,59,1
$TSLA,2020-03-23 09:49:52,4,0
$TSLA,2020-03-23 09:52:34,3,0
$TSLA,2020-03-23 09:54:51,3,0
$TSLA,2020-03-23 09:56:26,0,2
$TSLA,2020-03-23 10:07:46,17,0
$TSLA,2020-03-23 10:14:26,0,2
$TSLA,2020-03-23 10:15:48,0,36
$TSLA,2020-03-23 10:17:50,8,0
$TSLA,2020-03-23 10:21:36,4,18
$TSLA,2020-03-23 10:23:08,0,2
$TSLA,2020-03-23 10:26:16,6,0
$TSLA,2020-03-23 10:32:36,9,11
$TSLA,2020-03-23 10:33:40,4,0
$TSLA,2020-03-23 10:34:55,0,3
$TSLA,2020-03-23 10:38:57,3,0
$TSLA,2020-03-23 10:40:20,18,0
$TSLA,2020-03-23 10:41:37,0,5
$TSLA,2020-03-23 10:43:19,0,1
$TSLA,2020-03-23 10:45:12,67,0
$TSLA,2020-03-23 10:46:28,0,4
$TSLA,2020-03-23 10:47:31,0,1
$TSLA,2020-03-23 10:49:36,8,16
$TSLA,2020-03-23 10:52:18,47,0
$TSLA,2020-03-23 10:53:44,2,0
$TSLA,2020-03-23 10:56:35,3,0
$TSLA,2020-03-23 11:00:34,23,0
$TSLA,2020-03-23 11:01:35,1,0
$TSLA,2020-03-23 11:02:41,3,0
$TSLA,2020-03-23 11:03:46,55,0
$TSLA,2020-03-23 11:06:53,3,0
$TSLA,2020-03-23 11:08:31,3,4
$TSLA,2020-03-23 11:10:00,2,5
$TSLA,2020-03-23 11:17:34,2,0
$TSLA,2020-03-23 11:21:15,0,1
$TSLA,2020-03-23 11:22:54,14,2
$TSLA,2020-03-23 11:24:34,7,0
$TSLA,2020-03-23 11:26:55,7,0
$TSLA,2020-03-23 11:31:14,1,0
$TSLA,2020-03-23 11:34:41,0,4
$TSLA,2020-03-23 11:39:45,0,5
$TSLA,2020-03-23 11:40:46,0,11
$TSLA,2020-03-23 11:43:59,2,20
$TSLA,2020-03-23 11:46:37,1,1
$TSLA,2020-03-23 11:49:14,2,0
$TSLA,2020-03-23 11:54:09,2,0
$TSLA,2020-03-23 11:56:48,1,1
$TSLA,2020-03-23 12:01:52,1,2
$TSLA,2020-03-23 12:04:10,4,0
$TSLA,2020-03-23 12:05:29,0,44
$TSLA,2020-03-23 12:06:33,0,1
$TSLA,2020-03-23 12:09:19,3,3
$TSLA,2020-03-23 12:10:20,4,16
$TSLA,2020-03-23 12:12:15,15,5
$TSLA,2020-03-23 12:14:51,3,23
$TSLA,2020-03-23 12:16:22,1,5
$TSLA,2020-03-23 12:17:52,46,3
$TSLA,2020-03-23 12:19:53,1,0
$TSLA,2020-03-23 12:21:02,6,3
$TSLA,2020-03-23 12:22:03,2,0
$TSLA,2020-03-23 12:23:46,20,0
$TSLA,2020-03-23 12:27:21,2,4
$TSLA,2020-03-23 12:29:14,17,0
$TSLA,2020-03-23 12:30:26,7,25
$TSLA,2020-03-23 12:33:33,2,0
$TSLA,2020-03-23 12:34:34,132,8
$TSLA,2020-03-23 12:37:11,0,2
$TSLA,2020-03-23 12:39:28,4,0
$TSLA,2020-03-23 12:42:32,3,0
$TSLA,2020-03-23 12:43:48,16,5
$TSLA,2020-03-23 12:46:28,10,3
$TSLA,2020-03-23 12:47:49,4,0
$TSLA,2020-03-23 12:49:02,2,12
$TSLA,2020-03-23 12:50:29,122,6
$TSLA,2020-03-23 12:51:57,2,1
$TSLA,2020-03-23 12:53:54,5,0
$TSLA,2020-03-23 12:55:47,2,1
$TSLA,2020-03-23 12:57:02,0,2
$TSLA,2020-03-23 12:59:54,17,0
$TSLA,2020-03-23 13:00:56,5,0
$TSLA,2020-03-23 13:02:02,8,0
$TSLA,2020-03-23 13:03:46,6,1
$TSLA,2020-03-23 13:05:15,9,3
$TSLA,2020-03-23 13:06:50,9,0
$TSLA,2020-03-23 13:13:27,32,0
$TSLA,2020-03-23 13:15:17,19,13
$TSLA,2020-03-23 13:16:38,1,2
$TSLA,2020-03-23 13:17:51,2,1
$TSLA,2020-03-23 13:19:16,6,0
$TSLA,2020-03-23 13:21:08,15,0
$TSLA,2020-03-23 13:22:34,1,5
$TSLA,2020-03-23 13:23:43,1,0
$TSLA,2020-03-23 13:25:20,13,0
$TSLA,2020-03-23 13:27:04,62,0
$TSLA,2020-03-23 13:29:28,9,4
$TSLA,2020-03-23 13:30:37,18,0
$TSLA,2020-03-23 13:31:50,5,0
$TSLA,2020-03-23 13:34:11,0,2
$TSLA,2020-03-23 13:36:58,0,1
$TSLA,2020-03-23 13:40:21,2,0
$TSLA,2020-03-23 13:41:29,6,1
$TSLA,2020-03-23 13:42:45,5,2
$TSLA,2020-03-23 13:44:02,9,5
$TSLA,2020-03-23 13:45:43,57,7
$TSLA,2020-03-23 13:47:07,4,2
$TSLA,2020-03-23 13:49:58,1,0
$TSLA,2020-03-23 13:51:27,7,0
$TSLA,2020-03-23 13:53:27,11,6
$TSLA,2020-03-23 13:55:45,2,78
$TSLA,2020-03-23 13:56:55,0,134
$TSLA,2020-03-23 13:58:18,8,1
$TSLA,2020-03-23 13:59:27,9,0
$TSLA,2020-03-23 14:00:48,5,28
$TSLA,2020-03-23 14:02:58,3,0
$TSLA,2020-03-23 14:04:05,2,0
$TSLA,2020-03-23 14:05:47,3,1
$TSLA,2020-03-23 14:08:38,8,6
$TSLA,2020-03-23 14:10:37,11,0
$TSLA,2020-03-23 14:11:42,1,3
$TSLA,2020-03-23 14:12:46,7,3
$TSLA,2020-03-23 14:14:00,0,4
$TSLA,2020-03-23 14:15:18,30,2
$TSLA,2020-03-23 14:17:04,1,8
$TSLA,2020-03-23 14:18:44,2,61
$TSLA,2020-03-23 14:19:47,1,0
$TSLA,2020-03-23 14:20:57,23,4
$TSLA,2020-03-23 14:23:40,1,10
$TSLA,2020-03-23 14:24:49,1,1
$TSLA,2020-03-23 14:25:54,1,4
$TSLA,2020-03-23 14:27:03,9,0
$TSLA,2020-03-23 14:28:26,5,1
$TSLA,2020-03-23 14:30:30,5,1
$TSLA,2020-03-23 14:32:08,6,1
$TSLA,2020-03-23 14:33:48,0,15
$TSLA,2020-03-23 14:35:05,2,6
$TSLA,2020-03-23 14:36:38,2,28
$TSLA,2020-03-23 14:38:35,2,1
$TSLA,2020-03-23 14:39:58,5,6
$TSLA,2020-03-23 14:41:03,19,32
$TSLA,2020-03-23 14:43:18,41,10
$TSLA,2020-03-23 14:44:48,2,0
$TSLA,2020-03-23 14:46:19,84,0
$TSLA,2020-03-23 14:47:40,0,2
$TSLA,2020-03-23 14:50:36,8,1
$TSLA,2020-03-23 14:52:36,1,7
$TSLA,2020-03-23 14:53:43,25,0
$TSLA,2020-03-23 14:54:49,2,0
$TSLA,2020-03-23 14:56:02,5,2
$TSLA,2020-03-23 14:57:52,0,49
$TSLA,2020-03-23 14:59:32,0,7
$TSLA,2020-03-23 15:00:34,1,2
$TSLA,2020-03-23 15:02:17,7,13
$TSLA,2020-03-23 15:04:08,0,8
$TSLA,2020-03-23 15:05:17,1,1
$TSLA,2020-03-23 15:07:33,1,1
$TSLA,2020-03-23 15:08:42,1,2
$TSLA,2020-03-23 15:10:32,3,1
$TSLA,2020-03-23 15:11:42,532,1
$TSLA,2020-03-23 15:12:45,3,1
$TSLA,2020-03-23 15:14:40,2,11
$TSLA,2020-03-23 15:17:18,1,6
$TSLA,2020-03-23 15:19:26,8,9
$TSLA,2020-03-23 15:20:32,1,11
$TSLA,2020-03-23 15:21:41,6,0
$TSLA,2020-03-23 15:22:48,0,1
$TSLA,2020-03-23 15:23:51,5,7
$TSLA,2020-03-23 15:25:03,2,1
$TSLA,2020-03-23 15:26:17,4,54
$TSLA,2020-03-23 15:28:52,0,4
$TSLA,2020-03-23 15:30:07,1,2
$TSLA,2020-03-23 15:31:11,4,3
$TSLA,2020-03-23 15:32:19,44,0
$TSLA,2020-03-23 15:33:22,7,14
$TSLA,2020-03-23 15:34:28,2,0
$TSLA,2020-03-23 15:36:40,3,2
$TSLA,2020-03-23 15:37:44,1,1
$TSLA,2020-03-23 15:39:18,89,0
$TSLA,2020-03-23 15:41:12,2,12
$TSLA,2020-03-23 15:42:14,3,3
$TSLA,2020-03-23 15:43:16,33,0
$TSLA,2020-03-23 15:44:21,2,57
$TSLA,2020-03-23 15:45:33,12,34
$TSLA,2020-03-23 15:47:16,8,4
$TSLA,2020-03-23 15:48:42,5,9
$TSLA,2020-03-23 15:50:09,81,23
$TSLA,2020-03-23 15:51:26,4,0
$TSLA,2020-03-23 15:52:43,0,3
$TSLA,2020-03-23 15:54:58,23,0
$TSLA,2020-03-23 15:56:01,6,2
$TSLA,2020-03-23 15:57:21,4,3
$TSLA,2020-03-23 16:00:06,1,1
$TSLA,2020-03-23 16:01:34,44,48
$TSLA,2020-03-23 16:02:59,2,3
$TSLA,2020-03-23 16:04:13,1,0
$TSLA,2020-03-23 16:05:29,5,0
$TSLA,2020-03-23 16:06:31,3,0
$TSLA,2020-03-23 16:07:32,1,0
$TSLA,2020-03-23 16:09:59,0,6
$TSLA,2020-03-23 16:11:38,0,3
$TSLA,2020-03-23 16:13:02,5,0
$TSLA,2020-03-23 16:15:48,1,4
$TSLA,2020-03-23 16:17:10,15,3
$TSLA,2020-03-23 16:19:05,140,5
$TSLA,2020-03-23 16:20:21,1,0
$TSLA,2020-03-23 16:21:57,6,27
$TSLA,2020-03-23 16:23:08,4,0
$TSLA,2020-03-23 16:24:16,3,0
$TSLA,2020-03-23 16:25:21,15,4
$TSLA,2020-03-23 16:26:51,1,2
$TSLA,2020-03-23 16:28:32,1,9
$TSLA,2020-03-23 16:30:01,6,0
$TSLA,2020-03-23 16:31:53,7,0
$TSLA,2020-03-23 16:33:52,3,1
$TSLA,2020-03-23 16:36:37,0,4
$TSLA,2020-03-23 16:39:12,0,1
$TSLA,2020-03-23 16:40:27,16,31
$TSLA,2020-03-23 16:42:32,101,6
$TSLA,2020-03-23 16:44:06,149,49
$TSLA,2020-03-23 16:46:01,401,1
$TSLA,2020-03-23 16:47:50,0,3
$TSLA,2020-03-23 16:49:19,12,48
$TSLA,2020-03-23 16:50:21,4,0
$TSLA,2020-03-23 16:52:02,121,0
$TSLA,2020-03-23 16:54:02,2,0
$TSLA,2020-03-23 16:55:09,1,18
$TSLA,2020-03-23 16:57:10,1,0
$TSLA,2020-03-23 16:58:32,12,0
$TSLA,2020-03-23 16:59:33,18,0
$TSLA,2020-03-23 17:00:40,3,12
$TSLA,2020-03-23 17:02:02,3,0
$TSLA,2020-03-23 17:03:37,1,108
$TSLA,2020-03-23 17:05:12,1,5
$TSLA,2020-03-23 17:07:28,4,24
$TSLA,2020-03-23 17:08:53,69,32
$TSLA,2020-03-23 17:10:05,0,5
$TSLA,2020-03-23 17:12:12,0,14
$TSLA,2020-03-23 17:13:48,74,129
$TSLA,2020-03-23 17:14:49,1,5
$TSLA,2020-03-23 17:15:58,2,14
$TSLA,2020-03-23 17:17:36,9,10
$TSLA,2020-03-23 17:18:44,9,1
$TSLA,2020-03-23 17:19:53,0,1
$TSLA,2020-03-23 17:22:00,10,2
$TSLA,2020-03-23 17:23:28,31,2
$TSLA,2020-03-23 17:26:15,0,1
$TSLA,2020-03-23 17:27:24,0,44
$TSLA,2020-03-23 17:29:58,127,84
$TSLA,2020-03-23 17:31:00,1,0
$TSLA,2020-03-23 17:32:08,0,9
$TSLA,2020-03-23 17:34:16,0,17
$TSLA,2020-03-23 17:39:08,6,15
$TSLA,2020-03-23 17:40:39,0,3
$TSLA,2020-03-23 17:46:06,11,4
$TSLA,2020-03-23 17:47:41,134,0
$TSLA,2020-03-23 17:48:46,1,0
$TSLA,2020-03-23 17:50:30,0,32
$TSLA,2020-03-23 17:51:36,0,1
$TSLA,2020-03-23 17:53:34,1,4
$TSLA,2020-03-23 17:55:17,23,1
$TSLA,2020-03-23 17:56:20,0,19
$TSLA,2020-03-23 17:57:46,0,6
$TSLA,2020-03-23 17:58:47,9,0
$TSLA,2020-03-23 18:00:31,10,3
$TSLA,2020-03-23 18:02:38,6,4
$TSLA,2020-03-23 18:04:32,0,6
$TSLA,2020-03-23 18:05:56,2,0
$TSLA,2020-03-23 18:10:03,17,3
$TSLA,2020-03-23 18:13:46,2,0
$TSLA,2020-03-23 18:15:03,2,36
$TSLA,2020-03-23 18:17:21,59,0
$TSLA,2020-03-23 18:18:51,435,105
$TSLA,2020-03-23 18:21:56,0,9
$TSLA,2020-03-23 18:23:28,2,0
$TSLA,2020-03-23 18:24:45,2,0
$TSLA,2020-03-23 18:26:24,1,0
$TSLA,2020-03-23 18:28:00,1,0
$TSLA,2020-03-23 18:29:03,141,0
$TSLA,2020-03-23 18:30:37,2,49
$TSLA,2020-03-23 18:32:03,6,0
$TSLA,2020-03-23 18:33:53,6,3
$TSLA,2020-03-23 18:35:08,4,0
$TSLA,2020-03-23 18:36:16,1,6
$TSLA,2020-03-23 18:37:39,5,0
$TSLA,2020-03-23 18:38:53,133,8
$TSLA,2020-03-23 18:40:45,0,15
$TSLA,2020-03-23 18:42:02,19,2
$TSLA,2020-03-23 18:44:28,5,5
$TSLA,2020-03-23 18:46:54,17,0
$TSLA,2020-03-23 18:50:00,2,0
$TSLA,2020-03-23 18:53:54,4,16
$TSLA,2020-03-23 18:56:45,0,10
$TSLA,2020-03-23 18:58:03,13,0
$TSLA,2020-03-23 18:59:10,2,1
$TSLA,2020-03-23 19:00:54,7,13
$TSLA,2020-03-23 19:02:39,1,4
$TSLA,2020-03-23 19:03:43,3,10
$TSLA,2020-03-23 19:07:07,7,0
$TSLA,2020-03-23 19:09:02,0,5
$TSLA,2020-03-23 19:12:17,17,0
$TSLA,2020-03-23 19:13:33,6,0
$TSLA,2020-03-23 19:15:45,5,3
$TSLA,2020-03-23 19:16:54,2,6
$TSLA,2020-03-23 19:19:31,7,3
$TSLA,2020-03-23 19:21:26,22,0
$TSLA,2020-03-23 19:24:10,12,2
$TSLA,2020-03-23 19:27:21,2,0
$TSLA,2020-03-23 19:28:28,19,5
$TSLA,2020-03-23 19:29:39,0,6
$TSLA,2020-03-23 19:31:08,0,17
$TSLA,2020-03-23 19:32:57,67,19
$TSLA,2020-03-23 19:34:18,101,0
$TSLA,2020-03-23 19:35:35,67,0
$TSLA,2020-03-23 19:37:07,6,2
$TSLA,2020-03-23 19:38:49,0,9
$TSLA,2020-03-23 19:40:06,4,12
$TSLA,2020-03-23 19:41:37,0,8
$TSLA,2020-03-23 19:43:10,9,0
$TSLA,2020-03-23 19:47:26,0,15
$TSLA,2020-03-23 19:50:52,2,0
$TSLA,2020-03-23 19:52:26,5,0
$TSLA,2020-03-23 19:54:12,5,0
$TSLA,2020-03-23 19:55:28,24,46
$TSLA,2020-03-23 19:57:08,9,0
$TSLA,2020-03-23 19:58:43,0,2
$TSLA,2020-03-23 19:59:56,10,0
$TSLA,2020-03-23 20:01:08,7,0
$TSLA,2020-03-23 20:02:52,2,0
$TSLA,2020-03-23 20:04:07,2,0
